"RG","TG","COEF","RE","absCOEF"
"F11R_GIPR","F11R","GIPR",0.00249901657893776,0.000185358785171351,0.00249901657893776
"CCR5_GIPR","CCR5","GIPR",0.00078745998083951,9.08992920702645e-05,0.00078745998083951
"NCSTN_GIPR","NCSTN","GIPR",0.00219682289645325,0.000191558559416468,0.00219682289645325
"PROK2_GIPR","PROK2","GIPR",-0.00483191530527003,9.96388812842195e-05,0.00483191530527003
"CXCR1_GIPR","CXCR1","GIPR",-0.0173820374410251,0.000113594619610944,0.0173820374410251
"COL4A3_GIPR","COL4A3","GIPR",-0.934271781945487,0.00874132152589817,0.934271781945487
"NPR1_GIPR","NPR1","GIPR",-3.08083182663733e-07,2.01337685883801e-09,3.08083182663733e-07
"NPTX1_GIPR","NPTX1","GIPR",-0.00251887539802239,1.64612861787073e-05,0.00251887539802239
"FZD8_GIPR","FZD8","GIPR",0.000175442398852771,1.40386356197768e-06,0.000175442398852771
"ADA_GIPR","ADA","GIPR",0.000603401851460327,9.95758792882647e-05,0.000603401851460327
"C5AR1_GIPR","C5AR1","GIPR",0.943320915367723,0.0322208381531712,0.943320915367723
"TNFSF12_GIPR","TNFSF12","GIPR",0.00116314231274013,0.000135004212316914,0.00116314231274013
"KCND1_HFE","KCND1","HFE",0.969461444911663,0.0077882025507616,0.969461444911663
"APCDD1_HFE","APCDD1","HFE",2.67494359995624e-15,2.14892533144739e-17,2.67494359995624e-15
"GIPR_MRC2","GIPR","MRC2",-0.0024696428790203,4.38665789675834e-05,0.0024696428790203
"FAS_MRC2","FAS","MRC2",-6.6105726759989e-06,1.1535302768996e-06,6.6105726759989e-06
"TNFRSF1A_MRC2","TNFRSF1A","MRC2",-0.000721507964090736,0.000108732129552901,0.000721507964090736
"SEMA3C_MRC2","SEMA3C","MRC2",-0.944550564440689,0.00715564434446202,0.944550564440689
"IL12RB2_MRC2","IL12RB2","MRC2",-0.00397584906333939,0.000253222822383388,0.00397584906333939
"CD200_MRC2","CD200","MRC2",0.00117077778170213,5.95913797128788e-05,0.00117077778170213
"MFNG_MRC2","MFNG","MRC2",0.000687901895216555,0.000174431561865512,0.000687901895216555
"TIMP3_MRC2","TIMP3","MRC2",-0.666771974806189,0.00559501430286737,0.666771974806189
"ADGRE5_MRC2","ADGRE5","MRC2",0.000214450328628747,0.000182080140359163,0.000214450328628747
"GRM4_MRC2","GRM4","MRC2",-0.138913495464837,0.00111156479747915,0.138913495464837
"EREG_MRC2","EREG","MRC2",0.156542859069239,0.00278528221784353,0.156542859069239
"IGFLR1_MRC2","IGFLR1","MRC2",-0.000885555919515396,8.76103800621101e-05,0.000885555919515396
"ADORA2A_MRC2","ADORA2A","MRC2",0.168284589104508,0.000806964142136882,0.168284589104508
"PODXL_MRC2","PODXL","MRC2",-0.932613808399724,0.00895793973404531,0.932613808399724
"DSC1_MRC2","DSC1","MRC2",0.00411287783552943,8.20725360115581e-05,0.00411287783552943
"SERPINE2_MRC2","SERPINE2","MRC2",0.00292059496756531,0.000212457993566475,0.00292059496756531
"PTPRF_MRC2","PTPRF","MRC2",-0.000173391626066094,1.31356526071382e-06,0.000173391626066094
"XCL2_MRC2","XCL2","MRC2",0.000578117140608391,0.000143399771510824,0.000578117140608391
"ITGB1_MRC2","ITGB1","MRC2",0.000618306530188341,0.000294615687491575,0.000618306530188341
"F11R_MRC2","F11R","MRC2",0.00459440590702086,0.000340779450879616,0.00459440590702086
"S100B_MRC2","S100B","MRC2",-0.0043577821068866,0.000223163097047035,0.0043577821068866
"DRAXIN_MRC2","DRAXIN","MRC2",0.952141907748743,0.0329651680379081,0.952141907748743
"ITGA2_MRC2","ITGA2","MRC2",0.000257087909934668,1.232796929286e-06,0.000257087909934668
"HSP90B1_MRC2","HSP90B1","MRC2",-8.86816575060415e-05,5.35383912605425e-05,8.86816575060415e-05
"CX3CR1_MRC2","CX3CR1","MRC2",-0.000259822398868821,3.93634618420712e-05,0.000259822398868821
"IL13_MRC2","IL13","MRC2",2.1101644365152e-06,1.01187342426392e-08,2.1101644365152e-06
"FZD8_MRC2","FZD8","MRC2",-0.00300508688342037,2.40462510989219e-05,0.00300508688342037
